0.020000	1	1	1	0	1546.16879	1524.74312	1529.02913
0.039999	1	1	1	0	1546.16646	1524.73952	1529.02703
0.059999	1	1	1	0	1546.16277	1524.74009	1529.02304
0.079999	1	1	1	0	1546.16491	1524.74047	1529.02513
0.099999	1	1	1	0	1546.16044	1524.74123	1529.02513
0.119999	1	1	1	0	1546.15616	1524.74123	1529.02723
0.139999	1	1	1	0	1546.15830	1524.74009	1529.02703
0.159998	1	1	1	0	1546.16277	1524.73952	1529.02703
0.179998	1	1	1	0	1546.16277	1524.73934	1529.02703
0.199998	1	1	1	0	1546.16491	1524.73934	1529.02304
0.219998	1	1	1	0	1546.15985	1524.73934	1529.02703
0.239998	1	1	1	0	1546.16432	1524.74047	1529.02513
0.259997	1	1	1	0	1546.16879	1524.74217	1529.02703
0.279997	1	1	1	0	1546.16704	1524.74198	1529.02703
0.299997	1	1	1	0	1546.15111	1524.74198	1529.02703
0.319997	1	1	1	0	1546.15985	1524.74123	1529.02704
0.339997	1	1	1	0	1546.16433	1524.74009	1529.02704
0.359996	1	1	1	0	1546.16433	1524.74123	1529.02514
0.379996	1	1	1	0	1546.16199	1524.73858	1529.02514
0.399996	1	1	1	0	1546.16044	1524.74198	1529.02514
0.419996	1	1	1	0	1546.15772	1524.74312	1529.02704
0.439996	1	1	1	0	1546.16199	1524.74123	1529.02704
0.459996	1	1	1	0	1546.16199	1524.74047	1529.02514
0.479995	1	1	1	0	1546.16277	1524.74198	1529.02704
0.499995	1	1	1	0	1546.16044	1524.74312	1529.02894
0.519995	1	1	1	0	1546.16277	1524.73820	1529.02114
0.539994	1	1	1	0	1546.16433	1524.74123	1529.02304
0.559994	1	1	1	0	1546.16491	1524.74123	1529.02495
0.579994	1	1	1	0	1546.17365	1524.74312	1529.02704
0.599994	1	1	1	0	1546.16705	1524.74406	1529.02723
0.619994	1	1	1	0	1546.15616	1524.74312	1529.02514
0.639994	1	1	1	0	1546.16199	1524.74142	1529.02514
0.659993	1	1	1	0	1546.16044	1524.74217	1529.02894
0.679993	1	1	1	0	1546.16199	1524.74198	1529.02304
0.699993	1	1	1	0	1546.16199	1524.73934	1529.02704
0.719993	1	1	1	0	1546.16044	1524.73934	1529.02723
0.739993	1	1	1	0	1546.16199	1524.74047	1529.02514
0.759992	1	1	1	0	1546.16277	1524.74198	1529.02723
0.779992	1	1	1	0	1546.15830	1524.74085	1529.02533
0.799992	1	1	1	0	1546.15830	1524.74123	1529.02894
0.819992	1	1	1	0	1546.16646	1524.74047	1529.02704
0.839992	1	1	1	0	1546.15985	1524.74123	1529.02514
0.859991	1	1	1	0	1546.15830	1524.74217	1529.02704
0.879991	1	1	1	0	1546.16199	1524.73858	1529.02894
0.899991	1	1	1	0	1546.16588	1524.74047	1529.02723
0.919991	1	1	1	0	1546.16491	1524.74217	1529.02514
0.939991	1	1	1	0	1546.16277	1524.74047	1529.02514
0.959991	1	1	1	0	1546.16646	1524.74123	1529.02514
0.979990	1	1	1	0	1546.15538	1524.74198	1529.02514
0.999990	1	1	1	0	1546.15927	1524.74217	1529.02304
1.019990	1	1	1	0	1546.15985	1524.73934	1529.02324
1.039990	1	1	1	0	1546.16646	1524.74217	1529.02304
1.059989	1	1	1	0	1546.16199	1524.74085	1529.02514
1.079989	1	1	1	0	1546.15616	1524.74123	1529.02723
1.099989	1	1	1	0	1546.15616	1524.74047	1529.02495
1.119989	1	1	1	0	1546.16044	1524.74123	1529.02704
1.139989	1	1	1	0	1546.15830	1524.74123	1529.02495
1.159988	1	1	1	0	1546.16199	1524.73934	1529.02514
1.179988	1	1	1	0	1546.15830	1524.74123	1529.02495
1.199988	1	1	1	0	1546.15986	1524.74123	1529.02514
1.219988	1	1	1	0	1546.15830	1524.74218	1529.02723
1.239988	1	1	1	0	1546.16044	1524.74312	1529.02514
1.259987	1	1	1	0	1546.17152	1524.74218	1529.02514
1.279987	1	1	1	0	1546.16938	1524.74123	1529.02514
1.299987	1	1	1	0	1546.15325	1524.74047	1529.02704
1.319987	1	1	1	0	1546.16433	1524.74047	1529.02704
1.339987	1	1	1	0	1546.15772	1524.74312	1529.02514
1.359987	1	1	1	0	1546.16277	1524.73934	1529.02115
1.379986	1	1	1	0	1546.15986	1524.74218	1529.02704
1.399986	1	1	1	0	1546.16938	1524.73934	1529.02533
1.419986	1	1	1	0	1546.16277	1524.74123	1529.02704
1.439986	1	1	1	0	1546.16433	1524.74218	1529.02704
1.459985	1	1	1	0	1546.16433	1524.74123	1529.02514
1.479985	1	1	1	0	1546.15772	1524.74123	1529.02704
1.499985	1	1	1	0	1546.15616	1524.74123	1529.02514
1.519985	1	1	1	0	1546.16044	1524.74010	1529.02514
1.539984	1	1	1	0	1546.15772	1524.74123	1529.02894
1.559984	1	1	1	0	1546.16433	1524.74047	1529.02704
1.579984	1	1	1	0	1546.15539	1524.74218	1529.02533
1.599984	1	1	1	0	1546.16938	1524.74010	1529.02514
1.619984	1	1	1	0	1546.16199	1524.74123	1529.02723
1.639984	1	1	1	0	1546.16277	1524.73934	1529.02894
1.659983	1	1	1	0	1546.16783	1524.74123	1529.02514
1.679983	1	1	1	0	1546.16044	1524.74010	1529.02514
1.699983	1	1	1	0	1546.15325	1524.74123	1529.02305
1.719983	1	1	1	0	1546.16647	1524.74407	1529.02704
1.739983	1	1	1	0	1546.16647	1524.74010	1529.02514
1.759982	1	1	1	0	1546.15111	1524.74123	1529.02704
1.779983	1	1	1	0	1546.16277	1524.74218	1529.02514
1.799982	1	1	1	0	1546.16199	1524.74010	1529.02514
1.819982	1	1	1	0	1546.15772	1524.74047	1529.02305
1.839982	1	1	1	0	1546.16199	1524.74312	1529.02305
1.859982	1	1	1	0	1546.16549	1524.74047	1529.02514
1.879981	1	1	1	0	1546.15986	1524.74010	1529.02514
1.899981	1	1	1	0	1546.16491	1524.73934	1529.02514
1.919981	1	1	1	0	1546.16938	1524.74218	1529.02514
1.939981	1	1	1	0	1546.16277	1524.74123	1529.02324
1.959980	1	1	1	0	1546.15616	1524.74199	1529.02704
1.979980	1	1	1	0	1546.16433	1524.74218	1529.02704
1.999980	1	1	1	0	1546.15830	1524.73934	1529.02514
2.019980	1	1	1	0	1546.16433	1524.74199	1529.02704
2.039979	1	1	1	0	1546.16199	1524.74312	1529.02115
2.059979	1	1	1	0	1546.15830	1524.74047	1529.02894
2.079979	1	1	1	0	1546.16044	1524.74123	1529.02704
2.099979	1	1	1	0	1546.16277	1524.74199	1529.02704
2.119979	1	1	1	0	1546.16199	1524.73934	1529.02514
2.139979	1	1	1	0	1546.17152	1524.74123	1529.02723
2.159978	1	1	1	0	1546.17307	1524.73858	1529.02704
