time,raw_wavelength_shift,moving_average,butterworth,savitzky_golay,median
0.02,0.006903799999690818,0.0027877999997144797,0.006882224145044385,0.007958834964677657,0.000883799999655821
0.039999,0.004573799999661787,0.0027877999997144797,0.004133004392109853,0.003874289510185846,0.0030237999997098086
0.059999,0.000883799999655821,0.0027877999997144797,0.0016611465940900376,0.0010843361302649394,0.0030237999997098086
0.079999,0.0030237999997098086,0.0002617999997255538,-0.00029518626519533424,-0.000620489044544795,0.000883799999655821
0.099999,-0.0014462000001458364,-0.0013702000002467686,-0.001553802863356483,-0.001449649883703089,-0.0014462000001458364
0.119999,-0.005726200000253812,-0.0013702000002467686,-0.0020293587412508686,-0.0016126102566696705,-0.0014462000001458364
0.139999,-0.003586200000199824,-0.001798200000257566,-0.0017705041786346683,-0.0017745682986353949,-0.0014462000001458364
0.159998,0.000883799999655821,-0.000904200000286437,-0.0009677065099114652,-0.0016766195806800993,0.000883799999655821
0.179998,0.000883799999655821,-0.00016620000028524373,8.551902580189387e-05,-0.0008652442893223387,0.000883799999655821
0.199998,0.0030237999997098086,0.0010377999997217557,0.0010695093797042912,0.0022891846150967757,0.000883799999655821
0.219998,-0.0020362000002478453,0.002241799999728755,0.0017242259670935524,0.0028680657339961464,0.0024337999998351734
0.239998,0.0024337999998351734,0.0030957999997553998,0.001914448371508661,0.0018303734263102845,0.0030237999997098086
0.259997,0.006903799999690818,0.00033579999976609545,0.0016564677756182578,0.0007490680650308501,0.0024337999998351734
0.279997,0.005153799999789044,0.00033579999976609545,0.0010964476676617002,0.00044855524452837856,0.0024337999998351734
0.299997,-0.010776200000236713,0.00033779999976104593,0.00044040951426680265,0.00020561818158986193,0.002443799999809926
0.319997,-0.0020362000002478453,-0.0005542000002151326,-0.00013878812614829793,0.0004279724939631438,0.002443799999809926
0.339997,0.002443799999809926,-0.001564200000211713,-0.0005662058407889382,-0.000904987879002156,0.0001037999998061423
0.359996,0.002443799999809926,0.00030179999980646245,-0.0008611736194797295,-0.0015645916085936448,0.0001037999998061423
0.379996,0.0001037999998061423,-0.0001242000002093846,-0.0010754032486228206,-0.0009889039629008853,0.0001037999998061423
0.399996,-0.0014462000001458364,-0.0005922000002101413,-0.0012245883151632423,0.0005770634030497013,0.0001037999998061423
0.419996,-0.0041662000003270805,-0.001060200000210898,-0.0012600615159243996,-0.0006348480188569116,0.0001037999998061423
0.439996,0.0001037999998061423,-0.0009042000002409623,-0.0010899506193159027,-0.001342377156412341,0.0001037999998061423
0.459996,0.0001037999998061423,-0.0009042000002409623,-0.0006292110441413422,-0.0011508386948783395,0.0001037999998061423
0.479995,0.000883799999655821,0.00010579999975561805,0.0001473697935652488,-0.0010600927741378663,0.0001037999998061423
0.499995,-0.0014462000001458364,0.0005737999997563747,0.001167309812049012,0.0006240330999755419,0.000883799999655821
0.519995,0.000883799999655821,0.001157799999737108,0.0022516936184515117,0.0031650121209618586,0.000883799999655821
0.539994,0.002443799999809926,0.003333799999745679,0.0031486220964425824,0.0034164806524087134,0.002443799999809926
0.559994,0.0030237999997098086,0.004655799999727606,0.003610941628018182,0.003779650815577286,0.0030237999997098086
0.579994,0.011763799999698676,0.003333799999745679,0.0034945922505342907,0.0034734736594205402,0.0030237999997098086
