experiment,channel,filter,baseline_nm,raw_noise_std,filtered_noise_std,raw_noise_rms,filtered_noise_rms,noise_reduction_percent
expert10,FBG1,moving_average,1546.1628502000003,0.004414888442527959,0.0018705628426729881,0.00441488844252796,0.001870586160534321,57.630575109120855
expert10,FBG1,butterworth,1546.1628502000003,0.004414888442527959,0.0017934217578897804,0.00441488844252796,0.001793572284678395,59.37786919791637
expert10,FBG1,savitzky_golay,1546.1628502000003,0.004414888442527959,0.001968176757435563,0.00441488844252796,0.001968256564971701,55.41955854475481
expert10,FBG1,median,1546.1628502000003,0.004414888442527959,0.0023969355518964567,0.00441488844252796,0.00240304171412589,45.707902179200374
expert10,FBG2,moving_average,1524.7493956999997,0.001289743583047329,0.0005540842232051213,0.0012897435830473293,0.0005543111635296217,57.039195194446
expert10,FBG2,butterworth,1524.7493956999997,0.001289743583047329,0.0004975713440511864,0.0012897435830473293,0.0004976724049743173,61.42090950547282
expert10,FBG2,savitzky_golay,1524.7493956999997,0.001289743583047329,0.0005491486911066056,0.0012897435830473293,0.0005493575191691497,57.421870647411176
expert10,FBG2,median,1524.7493956999997,0.001289743583047329,0.0006658504364177531,0.0012897435830473293,0.0006661113759096367,48.373425138931765
expert10,FBG3,moving_average,1529.0263283,0.0017797786687961089,0.0007445596550856774,0.0017797786687961093,0.0007448875686836771,58.16560406416613
expert10,FBG3,butterworth,1529.0263283,0.0017797786687961089,0.0006830355898473047,0.0017797786687961093,0.0006831785582252639,61.62244205852131
expert10,FBG3,savitzky_golay,1529.0263283,0.0017797786687961089,0.0007202961413487535,0.0017797786687961093,0.0007207213357109951,59.528892329292745
expert10,FBG3,median,1529.0263283,0.0017797786687961089,0.0011670277162821776,0.0017797786687961093,0.0011773177400543657,34.428491770182454
expert12,FBG1,moving_average,1546.1609462000001,0.00446630535902125,0.0020938083514095897,0.00446630535902125,0.0020939512181611954,53.11990150470972
expert12,FBG1,butterworth,1546.1609462000001,0.00446630535902125,0.0021556760075857485,0.00446630535902125,0.002156226188920808,51.73469267542098
expert12,FBG1,savitzky_golay,1546.1609462000001,0.00446630535902125,0.002250977274061023,0.00446630535902125,0.002251032365483052,49.600909630722064
expert12,FBG1,median,1546.1609462000001,0.00446630535902125,0.0025249333980391273,0.00446630535902125,0.002526801229934823,43.46706740641568
expert12,FBG2,moving_average,1524.7408975,0.0012947921647853294,0.000611690338316049,0.0012947921647853294,0.0006116997874689372,52.75764289031943
expert12,FBG2,butterworth,1524.7408975,0.0012947921647853294,0.0006246465092522216,0.0012947921647853294,0.0006246661885848295,51.75700577738782
expert12,FBG2,savitzky_golay,1524.7408975,0.0012947921647853294,0.0006463282655335555,0.0012947921647853294,0.0006463607749332178,50.08247013599176
expert12,FBG2,median,1524.7408975,0.0012947921647853294,0.0007572072582080389,0.0012947921647853294,0.00076052165486329,41.51901140569688
expert12,FBG3,moving_average,1529.0261615000002,0.0017266756354202492,0.0008879060029067288,0.0017266756354202494,0.0008881092669294231,48.5771395221764
expert12,FBG3,butterworth,1529.0261615000002,0.0017266756354202492,0.00090455884948598,0.0017266756354202494,0.0009050693346438552,47.612693957668384
expert12,FBG3,savitzky_golay,1529.0261615000002,0.0017266756354202492,0.0009341999243368292,0.0017266756354202494,0.0009343218495823943,45.89603830777066
expert12,FBG3,median,1529.0261615000002,0.0017266756354202492,0.0012097286869654812,0.0017266756354202494,0.0012290672500149952,29.93885694859823
expert13,FBG1,moving_average,1546.1615386999997,0.00467894703003146,0.001957500335010666,0.00467894703003146,0.001957700294210167,58.16365685598488
expert13,FBG1,butterworth,1546.1615386999997,0.00467894703003146,0.0019091150862601692,0.00467894703003146,0.0019093748716356167,59.19776235963644
expert13,FBG1,savitzky_golay,1546.1615386999997,0.00467894703003146,0.002039087253308108,0.00467894703003146,0.002039125760521149,56.41995431407143
expert13,FBG1,median,1546.1615386999997,0.00467894703003146,0.002228647383481266,0.00467894703003146,0.002246055647144421,52.36861265629072
expert13,FBG2,moving_average,1524.7429118999999,0.001314379469556803,0.0006315364182678197,0.001314379469556803,0.0006322055788997977,51.951743549313946
expert13,FBG2,butterworth,1524.7429118999999,0.001314379469556803,0.000664096206671988,0.001314379469556803,0.0006641015265065394,49.47454505692217
expert13,FBG2,savitzky_golay,1524.7429118999999,0.001314379469556803,0.0006904090895359346,0.001314379469556803,0.0006905639031889155,47.472620690831825
expert13,FBG2,median,1524.7429118999999,0.001314379469556803,0.000743999159942063,0.001314379469556803,0.0007455075519298538,43.39540618411113
expert13,FBG3,moving_average,1529.0265310000002,0.001661060805605992,0.000586584621677822,0.001661060805605992,0.0005865924990913076,64.68614395703456
expert13,FBG3,butterworth,1529.0265310000002,0.001661060805605992,0.0005443551395185725,0.001661060805605992,0.000544396077394323,67.22846402242453
expert13,FBG3,savitzky_golay,1529.0265310000002,0.001661060805605992,0.0005895438203607541,0.001661060805605992,0.0005895615892789216,64.50799282175133
expert13,FBG3,median,1529.0265310000002,0.001661060805605992,0.0008972728626135838,0.001661060805605992,0.0009067997573486582,45.981937591607995
expert7,FBG1,moving_average,1546.1618862000003,0.004254650345205179,0.0016980582617737326,0.004254650345205178,0.0016981439585577848,60.089358137564076
expert7,FBG1,butterworth,1546.1618862000003,0.004254650345205179,0.0017100581046971238,0.004254650345205178,0.0017101474116350448,59.80731750085431
expert7,FBG1,savitzky_golay,1546.1618862000003,0.004254650345205179,0.0018934873799084258,0.004254650345205178,0.0018936014184988542,55.49605193662246
expert7,FBG1,median,1546.1618862000003,0.004254650345205179,0.0019388869255164015,0.004254650345205178,0.001946723596161748,54.42899490668018
expert7,FBG2,moving_average,1524.7410796000001,0.0012278403153502034,0.0005449494871993617,0.0012278403153502036,0.0005449921614089777,55.61723455513581
expert7,FBG2,butterworth,1524.7410796000001,0.0012278403153502034,0.0005598273310967865,0.0012278403153502036,0.000560927353748683,54.405526183010764
expert7,FBG2,savitzky_golay,1524.7410796000001,0.0012278403153502034,0.0005669179202225363,0.0012278403153502036,0.0005670046052006641,53.828041551083906
expert7,FBG2,median,1524.7410796000001,0.0012278403153502034,0.0007132141636302912,0.0012278403153502036,0.0007157837092342663,41.91311730736998
expert7,FBG3,moving_average,1529.0258165,0.0016585652685094134,0.000738604338994864,0.0016585652685094134,0.0007389935114632207,55.467273250050454
expert7,FBG3,butterworth,1529.0258165,0.0016585652685094134,0.0008029000619759479,0.0016585652685094134,0.0008031034681497678,51.59068640708179
expert7,FBG3,savitzky_golay,1529.0258165,0.0016585652685094134,0.000812870322002938,0.0016585652685094134,0.0008129979384763855,50.98954877226621
expert7,FBG3,median,1529.0258165,0.0016585652685094134,0.001017326447154785,0.0016585652685094134,0.0010173293493162868,38.66226029988695
expert8,FBG1,moving_average,1546.1614654000005,0.004184477606594,0.0017833799123077223,0.004184477606594,0.0017837005645544046,57.38106210683432
expert8,FBG1,butterworth,1546.1614654000005,0.004184477606594,0.001891391570913612,0.004184477606594,0.0018914023893835312,54.79981616025111
expert8,FBG1,savitzky_golay,1546.1614654000005,0.004184477606594,0.001963501087805941,0.004184477606594,0.0019636476166788133,53.07655405511529
expert8,FBG1,median,1546.1614654000005,0.004184477606594,0.002311202580982907,0.004184477606594,0.0023114026081105677,44.76723743626066
expert8,FBG2,moving_average,1524.7384429,0.0014243751577582382,0.0006217047591977501,0.0014243751577582382,0.0006217710623780915,56.35245701868151
expert8,FBG2,butterworth,1524.7384429,0.0014243751577582382,0.0005776186928373449,0.0014243751577582382,0.0005779834329259106,59.447573225972725
expert8,FBG2,savitzky_golay,1524.7384429,0.0014243751577582382,0.0006432494915388979,0.0014243751577582382,0.000643255793799603,54.83988273487722
expert8,FBG2,median,1524.7384429,0.0014243751577582382,0.0007868888413741688,0.0014243751577582382,0.0007870164330706303,44.755506504857976
