raw_noise_std,filtered_noise_std,peak_value,peak_time,peak_preservation,peak_time_error,experiment,channel,filter
0.004414888442527959,0.0018705628426729881,0.007561799999666619,10.319897,0.48943055750343983,11.339886000000002,expert10,FBG1,moving_average
0.004414888442527959,0.0017934217578897804,0.006838278540995357,10.319897,0.44260129583309815,11.339886000000002,expert10,FBG1,butterworth
0.004414888442527959,0.001968176757435563,0.008221478321333167,10.319897,0.532127630787635,11.339886000000002,expert10,FBG1,savitzky_golay
0.004414888442527959,0.0023969355518964567,0.008649799999602692,10.279897,0.5598503578890532,11.379886,expert10,FBG1,median
0.001289743583047329,0.0005540842232051213,0.0034583000003294726,21.499785,0.25410704734911926,0.040000000000000036,expert10,FBG2,moving_average
0.001289743583047329,0.0004975713440511864,0.004916509298268164,3.559964,0.23924620909351674,0.0,expert10,FBG2,butterworth
0.001289743583047329,0.0005491486911066056,0.012449148485139755,3.599964,0.23832016155748834,0.020000000000000018,expert10,FBG2,savitzky_golay
0.001289743583047329,0.0006658504364177531,0.003724300000385483,21.479785,0.10133299743834656,7.5599240000000005,expert10,FBG2,median
0.0017797786687961089,0.0007445596550856774,0.0019557000000077094,0.099999,0.3574767388473033,9.819901000000002,expert10,FBG3,moving_average
0.0017797786687961089,0.0006830355898473047,0.0016440054349990034,12.499875,0.36800253822978213,9.799901000000002,expert10,FBG3,butterworth
0.0017797786687961089,0.0007202961413487535,0.0021480869463980238,4.739953,0.40119304338183975,12.579874,expert10,FBG3,savitzky_golay
0.0017797786687961089,0.0011670277162821776,0.002601700000013807,1.939981,0.45833640530059544,9.759902,expert10,FBG3,median
0.00446630535902125,0.0020938083514095897,0.00566379999986566,4.539954,0.43508673382169505,2.3599760000000005,expert12,FBG1,moving_average
0.00446630535902125,0.0021556760075857485,0.005999345167493792,0.02,0.40119201591314135,8.159918000000001,expert12,FBG1,butterworth
0.00446630535902125,0.002250977274061023,0.0064443128203689245,4.559954,0.43463156344271814,2.339977000000001,expert12,FBG1,savitzky_golay
0.00446630535902125,0.0025249333980391273,0.006013799999891489,10.339896,0.520683705823501,2.3599760000000005,expert12,FBG1,median
0.0012947921647853294,0.000611690338316049,0.019300499999962993,3.01997,0.2563402729352905,0.040000000000000036,expert12,FBG2,moving_average
0.0012947921647853294,0.0006246465092522216,0.017283395691071086,2.99997,0.22955003076118652,0.020000000000000018,expert12,FBG2,butterworth
0.0012947921647853294,0.0006463282655335555,0.018436182983659635,2.99997,0.24486081593354214,0.020000000000000018,expert12,FBG2,savitzky_golay
0.0012947921647853294,0.0007572072582080389,0.0076225000000249565,3.01997,0.1012385031713891,0.040000000000000036,expert12,FBG2,median
0.0017266756354202492,0.0008879060029067288,0.002802499999779684,2.779972,0.5493482308545274,6.479935,expert12,FBG3,moving_average
0.0017266756354202492,0.00090455884948598,0.0024906059899270036,0.739992,0.4882105243281531,8.519915000000001,expert12,FBG3,butterworth
0.0017266756354202492,0.0009341999243368292,0.002544117715427741,0.719993,0.4986999344034838,8.539914,expert12,FBG3,savitzky_golay
0.0017266756354202492,0.0012097286869654812,0.0028784999997242267,5.239947,0.5642458099866455,4.01996,expert12,FBG3,median
0.00467894703003146,0.001957500335010666,0.006557300000258693,12.859871,0.4779874655146949,13.399866,expert13,FBG1,moving_average
0.00467894703003146,0.0019091150862601692,0.0055888033807452615,12.839872,0.4404562617282831,0.2399969999999989,expert13,FBG1,butterworth
0.00467894703003146,0.002039087253308108,0.006447220746150716,12.819872,0.47272824446992673,17.659824,expert13,FBG1,savitzky_golay
0.00467894703003146,0.002228647383481266,0.007721300000184783,12.859871,0.5494325798061809,6.479936,expert13,FBG1,median
0.001314379469556803,0.0006315364182678197,0.005958100000088962,3.279967,0.9694766620278378,0.03999900000000167,expert13,FBG2,moving_average
0.001314379469556803,0.000664096206671988,0.004967376623506241,3.279967,0.9756613603409445,0.020000000000003126,expert13,FBG2,butterworth
0.001314379469556803,0.0006904090895359346,0.005246328438316781,3.279967,0.9762908717775457,0.03999900000000167,expert13,FBG2,savitzky_golay
0.001314379469556803,0.000743999159942063,0.003688100000090344,3.279967,1.0,0.03999900000000167,expert13,FBG2,median
0.001661060805605992,0.000586584621677822,0.0023749999997562552,4.01996,0.4870023632293963,12.439875,expert13,FBG3,moving_average
0.001661060805605992,0.0005443551395185725,0.0023119618281343866,0.02,0.4704762237409667,12.439875,expert13,FBG3,butterworth
0.001661060805605992,0.0005895438203607541,0.0026497692305307292,0.02,0.5172905625768902,12.399875,expert13,FBG3,savitzky_golay
0.001661060805605992,0.0008972728626135838,0.002298999999766238,0.06,0.618251227069366,12.499874,expert13,FBG3,median
0.004254650345205179,0.0016980582617737326,0.004655799999727606,0.559994,0.40620204339673127,4.079959000000001,expert7,FBG1,moving_average
0.004254650345205179,0.0017100581046971238,0.006882224145044385,0.02,0.4757451262203572,7.399926000000001,expert7,FBG1,butterworth
0.004254650345205179,0.0018934873799084258,0.007958834964677657,0.02,0.550167629684654,7.399926000000001,expert7,FBG1,savitzky_golay
0.004254650345205179,0.0019388869255164015,0.006913799999665571,2.159978,0.5568981487984194,0.039998999999999896,expert7,FBG1,median
0.0012278403153502034,0.0005449494871993617,0.0016983999998956278,0.619994,0.42532067543598817,6.299937,expert7,FBG2,moving_average
0.0012278403153502034,0.0005598273310967865,0.002044987654018494,0.02,0.4223415706339795,6.299937,expert7,FBG2,butterworth
0.0012278403153502034,0.0005669179202225363,0.0020391412586405174,0.619994,0.43281589779840995,6.3199369999999995,expert7,FBG2,savitzky_golay
