dataset,fbg,impact_id,start_time,peak_time,end_time,duration,peak_shift,residual_shift,rise_time,recovery_time,mean,median,std,variance,rms,minimum,maximum,peak_to_peak,skewness,kurtosis,crest_factor,sampling_frequency_hz,num_samples,dominant_frequency_hz,dominant_magnitude,spectral_energy,spectral_entropy,spectral_centroid_hz,spectral_bandwidth_hz,spectral_flatness,spectral_rolloff_hz,stft_peak_frequency_hz,stft_max_energy,stft_valid,feature_status,failure_reason
expert10,FBG2,expert10-FBG2-004,3.639964,3.719963,4.899951,1.2599869999999997,-0.03615299044280594,-0.013059144288968582,0.07999899999999993,1.1799879999999998,-0.014471462310259588,-0.013334126573051835,0.0062788545247846736,3.942401414340897e-05,0.01577489256827674,-0.036137844521784604,0.004050593706637684,0.04018843822842229,-1.8356009513411198,5.611651348648392,2.2908456818563505,50.000000000001066,64,0.7812500000000167,0.020817125954523154,0.0031078614728227314,2.3964651163773065,1.9821119444593445,3.5783977805303198,0.10365688668140206,4.6875000000000995,0.0,0.00022407072704776104,True,ok,
expert10,FBG2,expert10-FBG2-005,5.279947,6.159938,7.919921,2.6399740000000005,-0.014664878554716843,-0.012343946153798762,0.8799910000000004,1.759983,-0.012931041149724803,-0.012946725640642118,0.000676100557087512,4.57111963294044e-07,0.012948704073349202,-0.014649732633695508,-0.01119994242389388,0.0034497902098016286,0.13319605195948234,-0.010432685238162431,1.1313667028538659,50.000000000001066,133,4.511278195488818,0.016346453750856912,0.0014282992764455499,3.85915055941647,3.340400685696181,3.020360913764902,0.07590282390993247,4.511278195488818,0.0,0.0002235988887407463,True,ok,
expert10,FBG2,expert10-FBG2-006,8.239918,8.439915,9.499905,1.2599870000000006,-0.014320939160870409,-0.013196510256453345,0.19999699999999976,1.0599900000000009,-0.012984147333631808,-0.012926492540500382,0.0005710091114137354,3.260514053175037e-07,0.012996697018349527,-0.014305793239849074,-0.012084930768932184,0.0022208624709168893,-0.5662620717786129,-0.5278538535415782,1.1007253011785445,50.000000000001066,64,3.9062500000000835,0.006812458425731876,0.00018392831722654343,3.41618247888282,4.828608302182349,4.03187264328636,0.21254358749488828,6.250000000000133,0.0,0.00021995859386217867,True,ok,
expert10,FBG2,expert10-FBG2-007,9.759903,9.859901,10.159898,0.39999500000000054,-0.013402477622376643,-0.012672197902128599,0.09999800000000114,0.2999969999999994,-0.012771858285909085,-0.012846958741042304,0.000512346366114263,2.624987988704904e-07,0.012782130607774864,-0.013387331701355308,-0.011694930768998333,0.0016924009323569748,0.7980444449212285,-0.5388633538025038,1.0473474346453888,50.000000000001066,21,4.761904761904863,0.0037350597529481563,4.146541041283274e-05,2.048009622209834,3.5258474247316665,3.1871974146885806,0.14526296472551903,4.761904761904863,0.0,0.00019256299233404641,True,ok,
expert10,FBG2,expert10-FBG2-008,10.359896,10.559894,10.759892,0.3999959999999998,-0.013530985780923934,-0.012906778321694205,0.199997999999999,0.1999980000000008,-0.01294007784412695,-0.012888147552182247,0.0002569531451694923,6.602491881249419e-08,0.012942628772041546,-0.013515839859902599,-0.012464114918160702,0.0010517249417418967,-0.48046983624671524,-0.3572877321572028,1.0442886138478524,50.000000000001066,21,4.761904761904863,0.00180743089870406,8.892461774850604e-06,2.2507153694287276,4.515018115965469,3.972366038976203,0.20826782358757567,7.142857142857295,0.0,0.00021239154329595977,True,ok,
expert10,FBG2,expert10-FBG2-009,10.899891,11.279887,11.479885,0.5799939999999992,-0.015010915850798985,-0.013036417016311409,0.3799960000000002,0.199997999999999,-0.013125745842786014,-0.013049266433301388,0.0010137225354029168,1.0276333787837177e-06,0.01316483335664368,-0.01499576992977765,-0.011245933099975673,0.0037498368298019766,0.006376337114252536,-0.7018849381145205,1.1390778389313967,50.000000000001066,30,3.3333333333334045,0.011098619929282957,0.0002620179895335602,1.3663057156457106,2.760129969329905,1.5428402577476672,0.008842494498499179,3.3333333333334045,0.0,0.00021872922260979914,True,ok,
expert10,FBG2,expert10-FBG2-010,12.299877,12.659873,12.699873,0.3999959999999998,-0.012990076690027394,-0.01302599743591787,0.3599959999999989,0.040000000000000924,-0.01245859266263737,-0.012526842190853626,0.0003531428146177447,1.2470984751614282e-07,0.012463596631030626,-0.01297493076900606,-0.011572623076667121,0.0014023076923389381,0.9195967377102218,0.32282625914536345,1.0410262104200616,50.000000000001066,21,4.761904761904863,0.002528434126074494,1.9326686540120484e-05,2.5566761748517126,5.196457821862995,4.795183520596109,0.4525358341179972,9.523809523809726,0.0,0.00018768221836122127,True,ok,
expert10,FBG2,expert10-FBG2-011,13.699863,14.639853,15.539844,1.8399809999999999,-0.014224272494148876,-0.012577011421898092,0.9399899999999999,0.899991,-0.012825759402706353,-0.012746725640791965,0.0006641595031192127,4.4110784558355957e-07,0.012842944058964596,-0.014209126573127541,-0.011523392307460478,0.0026857342656670634,-0.10304242881364913,-0.8249393941603187,1.1063761165578951,50.000000000001066,93,1.6129032258064862,0.012354627991424462,0.0006439499202938438,3.8555205747049426,4.6515486568734055,4.433397352311145,0.15842909330799224,5.913978494623782,0.0,0.00021364866079931488,True,ok,
expert10,FBG2,expert10-FBG2-012,15.779842,15.97984,16.439835,0.6599929999999983,-0.013781451981310568,-0.012420939160862914,0.199997999999999,0.45999499999999927,-0.012640955038808287,-0.012664989044029852,0.0006269102323347193,3.930164394059718e-07,0.012656490853810097,-0.013766306060289233,-0.011467681351690896,0.002298624708598337,0.2964996189558211,-0.7777750046182526,1.0876874340050613,50.000000000001066,34,1.470588235294149,0.006088075210203116,8.849731946502856e-05,2.1302105758076695,3.319948525256963,2.722483515933125,0.10072881559145133,5.882352941176596,0.0,0.00019939899718608977,True,ok,
expert10,FBG2,expert10-FBG2-013,16.679833,16.879831,17.079829,0.3999960000000016,-0.01458543799536661,-0.012696766666673229,0.1999980000000008,0.1999980000000008,-0.013405897579947403,-0.013163019347063907,0.0006366436965312709,4.053151963330009e-07,0.013421006114310977,-0.014570292074345275,-0.012652879486907676,0.0019174125874375988,-0.7131203092126983,-0.939305398042297,1.085633368336581,50.000000000001066,21,2.3809523809524316,0.00484995350319011,5.652415619775966e-05,1.8771391512139168,2.7997686619600004,2.937740208385933,0.13861799740511233,4.761904761904863,0.0,0.00024240502112728255,True,ok,
