dataset,channel,method,baseline_mean,baseline_std,drift_std,excursion_std,candidate_events,accepted_events
expert10,FBG2,peak,1.514592102133483e-05,0.0005491486911066054,19.58143164046578,65.83461096839362,15,11
expert12,FBG2,peak,-6.4826340831169774e-06,0.0006463282655335553,5.848604640882596,28.534518140743852,9,7
expert13,FBG2,peak,-1.4621678209829633e-05,0.0006904090895359343,5.263534288247132,52.514429068649875,20,3
expert7,FBG2,peak,9.914335545816108e-06,0.0005669179202225361,0.9933871790128952,4.231450232024437,8,0
expert8,FBG2,peak,-2.847435988163193e-06,0.0006432494915388976,24.904420011899933,82.16045004433701,26,24
expert9,FBG2,peak,1.0942890127497171e-06,0.0005707739413182772,62.65639461521515,94.32229944091853,69,65
